YYMM,Mrk,SMB,HML,RMW,CMA,
19791002,0.383805064,0.716068383,-0.062965566,-0.00336677,-0.033541111,
19791003,0.349507767,0.765996059,-0.080793677,0.001151928,-0.035862077,
19791004,0.415655089,0.692959649,-0.069284184,0.002316679,-0.041647233,
19791005,0.331079809,0.77145828,-0.064533383,-0.001299806,-0.0367049,
19791008,0.421669449,0.681391255,-0.063093564,-0.002294981,-0.03767216,
19791009,0.428815354,0.672038464,-0.057421169,-0.00212405,-0.041308599,
19791010,0.509278058,0.578845622,-0.051020483,-0.001669771,-0.035433425,
19791011,0.562371524,0.518259841,-0.044312952,-0.00184071,-0.034477703,
19791012,0.571494571,0.497694205,-0.042317225,-0.001682092,-0.025189459,
19791015,0.572841868,0.492976474,-0.041922157,-0.001319803,-0.022576382,
19791016,0.585162726,0.476270495,-0.039045946,-0.001440425,-0.020946849,
19791017,0.550778204,0.500577695,-0.033643138,-0.000951949,-0.016760812,
19791018,0.575752377,0.476356668,-0.035675307,-0.00147044,-0.014963298,
19791019,0.599330572,0.450377334,-0.034285484,-0.001815134,-0.013607288,
19791022,0.597696036,0.454653971,-0.036768221,-0.002169931,-0.013411855,
19791023,0.6556027,0.395792387,-0.034429566,-0.00318563,-0.013779891,
19791024,0.619614071,0.431647356,-0.034325366,-0.002988153,-0.013947908,
19791025,0.615919926,0.436140751,-0.03542431,-0.003104571,-0.013531796,
19791026,0.671564902,0.381201174,-0.036077145,-0.003953113,-0.012735818,
19791029,0.655624806,0.393249021,-0.033993108,-0.0016652,-0.013215519,
19791030,0.668442347,0.375132012,-0.030751652,-0.002957148,-0.009865559,
19791031,0.622711776,0.420107544,-0.030449104,-0.001550068,-0.010820147,
19791101,0.663774151,0.372395089,-0.02844976,-0.001696922,-0.006022558,
19791102,0.635863929,0.396853502,-0.025133832,-0.001579845,-0.006003754,
19791105,0.62788209,0.402333068,-0.023958905,-0.001430198,-0.004826055,
19791106,0.621854153,0.397026482,-0.020234633,-0.001253972,0.00260797,
19791107,0.625459835,0.384504485,-0.018208733,-0.000731136,0.008975549,
19791108,0.707596726,0.293653786,-0.0154735,-0.000173153,0.014396142,
19791109,0.648083048,0.347055957,-0.014504365,-0.000104061,0.019469422,
19791112,0.663161436,0.341191528,-0.022463983,-0.000430843,0.018541862,
19791113,0.692116453,0.325405868,-0.03067496,-0.001787144,0.014939783,
19791114,0.60552199,0.415618175,-0.036642788,-0.001110046,0.016612669,
19791115,0.55975139,0.456331248,-0.034564112,-0.000692487,0.019173962,
19791116,0.50217757,0.515608802,-0.035876272,-0.001910748,0.020000647,
19791119,0.591827963,0.421623705,-0.034991505,-0.002698132,0.024237969,
19791120,0.525834212,0.488958619,-0.038530274,-0.003529297,0.027266741,
19791121,0.532499138,0.479167097,-0.040855216,-0.005312151,0.034501132,
19791123,0.458225343,0.567594025,-0.06327818,-0.006256216,0.043715027,
19791126,0.519029706,0.489622285,-0.044825116,-0.007785024,0.043958149,
19791127,0.264692004,0.725017789,-0.034386098,-0.003691017,0.048367322,
19791128,0.281132089,0.708286405,-0.034047806,-0.004351279,0.04898059,
19791129,0.447873485,0.535171125,-0.026451737,-0.004578507,0.047985635,
19791130,0.346233543,0.637138847,-0.032904065,-0.002688349,0.052220025,
19791203,0.40336686,0.551629758,-0.040634711,-0.009794357,0.095432451,
19791204,0.4593845,0.508697651,-0.055316019,-0.0199751,0.107208967,
19791205,0.0342763,0.984566037,-0.109615484,-0.042679896,0.133453044,
19791206,2.593125674,-1.675024814,0.222972223,0.083349357,-0.224422441,
19791207,0.996619871,-0.027759025,0.044105363,0.031774327,-0.044740535,
19791210,0.889078486,0.0506214,0.070377333,0.031436303,-0.041513523,
19791211,1.073304429,-0.098902301,0.053741276,0.026419213,-0.054562616,
19791212,1.254308199,-0.285150769,0.050146767,0.020596687,-0.039900884,
19791213,1.085182367,-0.087290472,0.036242928,0.008465318,-0.042600142,
19791214,1.009516927,-0.006430102,0.015633632,0.003529469,-0.022249926,
19791217,0.808192475,0.201585457,0.015647559,0.002410054,-0.027835544,
19791218,0.82526945,0.19190799,0.013880802,-0.000525736,-0.030532506,
19791219,0.946304367,0.067316423,0.013797062,-0.002197049,-0.025220803,
19791220,1.096584412,-0.078368,0.013390267,-0.008366599,-0.023240081,
19791221,1.023118982,-0.004487594,0.006850563,-0.003852773,-0.021629178,
19791224,0.890116276,0.109162225,0.016173289,-0.002026879,-0.013424911,
19791226,0.922167775,0.075412043,0.016690592,-0.001749324,-0.012521086,
19791227,0.713597009,0.282772083,0.010276693,0.00323352,-0.009879305,
19791228,0.736645504,0.255459712,0.012844856,0.003196383,-0.008146455,
19791231,0.673626612,0.305919968,0.024553092,0.002427313,-0.006526986,
19800102,0.67654931,0.301381367,0.024181066,0.002270087,-0.00438183,
19800103,0.708684263,0.26891735,0.022726805,0.001178169,-0.001506587,
19800104,0.72584168,0.257396659,0.021248993,0.000342794,-0.004830126,
19800107,0.768009747,0.220037139,0.016793826,-0.000207828,-0.004632884,
19800108,0.748601932,0.237186777,0.015813158,-0.000746853,-0.000855015,
19800109,0.661422434,0.323554523,0.019597213,-0.000784784,-0.003789387,
19800110,0.615385272,0.353079051,0.035727397,-0.004899604,0.000707883,
19800111,1.058047809,-0.066174698,0.041240655,-0.034492139,0.001378373,
19800114,0.929661871,0.074970533,0.026351411,-0.022079773,-0.008904042,
19800115,0.79039016,0.21172867,0.023713709,-0.013261355,-0.012571184,
19800116,0.967316073,0.044337849,0.029108414,-0.019193204,-0.021569131,
19800117,0.920528291,0.095397887,0.022727603,-0.017525441,-0.02112834,
19800118,0.940798993,0.077274096,0.017934765,-0.016524222,-0.019483632,
19800121,0.893559379,0.124520242,0.01134736,-0.012075263,-0.017351718,
19800122,0.319279634,0.67075645,0.046198149,-0.027845485,-0.008388749,
19800123,0.637482843,0.346408087,-0.048684193,0.054044751,0.010748512,
