Date,Open,High,Low,Close,Adj Close,Volume,,End,Daily Return,Cummulative Return,% Change
5/7/1968,98.349998,99.589996,97.860001,98.900002,98.900002,13920000,,,1.005592313,1.351092979,0.351092979
5/8/1968,98.900002,99.739998,98.25,98.910004,98.910004,13120000,,,1.000101132,1.351229618,0.351229618
5/9/1968,98.910004,99.470001,97.68,98.389999,98.389999,12890000,,,0.994742645,1.344125724,0.344125724
5/10/1968,98.389999,99.300003,97.760002,98.5,98.5,11700000,,,1.00111801,1.34562847,0.34562847
5/13/1968,98.5,99.099998,97.519997,98.190002,98.190002,11860000,,,0.996852812,1.341393525,0.341393525
5/14/1968,98.190002,98.849998,97.330002,98.120003,98.120003,13160000,,,0.999287107,1.340437254,0.340437254
5/15/1968,98.120003,98.790001,97.32,98.07,98.07,13180000,,,0.999490389,1.339754153,0.339754153
5/16/1968,98.07,98.690002,97.050003,97.599998,97.599998,13030000,,,0.995207484,1.333333361,0.333333361
5/17/1968,97.599998,97.809998,96.110001,96.900002,96.900002,11830000,,,0.99282791,1.323770573,0.323770573
5/20/1968,96.900002,97.410004,95.800003,96.449997,96.449997,11180000,,,0.995355986,1.317622964,0.317622964
5/21/1968,96.449997,97.519997,95.919998,96.93,96.93,13160000,,,1.004976703,1.324180382,0.324180382
5/22/1968,96.93,98.169998,96.470001,97.18,97.18,14200000,,,1.002579181,1.327595683,0.327595683
5/23/1968,97.18,97.790001,96.379997,96.970001,96.970001,12840000,,,0.997839072,1.324726844,0.324726844
5/24/1968,96.970001,97.730003,96.209999,97.150002,97.150002,13300000,,,1.001856254,1.327185874,0.327185874
5/27/1968,97.150002,97.809998,96.290001,96.989998,96.989998,12720000,,,0.998353021,1.325000027,0.325000027
5/28/1968,96.989998,98.199997,96.410004,97.620003,97.620003,13850000,,,1.006495567,1.333606653,0.333606653
5/29/1968,97.620003,98.739998,97.010002,97.919998,97.919998,14100000,,,1.003073089,1.337704946,0.337704946
5/31/1968,97.919998,99.400002,97.660004,98.68,98.68,13090000,,,1.007761458,1.348087487,0.348087487
6/3/1968,98.720001,100.620003,98.720001,99.989998,99.989998,14970000,,,1.013275213,1.365983635,0.365983635
6/4/1968,99.989998,101.260002,99.32,100.379997,100.379997,18030000,,,1.00390038,1.371311491,0.371311491
6/5/1968,100.379997,101.129997,99.260002,99.889999,99.889999,15590000,,,0.995118569,1.364617529,0.364617529
6/6/1968,99.889999,101.589996,99.5,100.650002,100.650002,16130000,,,1.007608399,1.375000084,0.375000084
6/7/1968,100.650002,101.889999,100.239998,101.269997,101.269997,17320000,,,1.00615991,1.383469961,0.383469961
6/10/1968,101.269997,102.25,100.419998,101.410004,101.410004,14640000,,,1.001382512,1.385382625,0.385382625
6/11/1968,101.410004,102.400002,100.739998,101.660004,101.660004,15700000,,,1.00246524,1.388797926,0.388797926
6/13/1968,101.660004,102.839996,100.550003,101.25,101.25,21350000,,,0.995966909,1.383196778,0.383196778
6/14/1968,101.25,101.82,99.980003,101.129997,101.129997,14690000,,,0.998814785,1.381557393,0.381557393
6/17/1968,101.129997,101.709999,99.43,100.129997,100.129997,12570000,,,0.990111737,1.36789619,0.36789619
6/18/1968,100.129997,101.089996,99.43,99.989998,99.989998,13630000,,,0.998601828,1.365983635,0.365983635
6/20/1968,99.989998,101.599998,99.519997,101.510002,101.510002,16290000,,,1.01520156,1.386748718,0.386748718
6/21/1968,101.510002,101.589996,99.800003,100.660004,100.660004,13450000,,,0.991626461,1.375136723,0.375136723
6/24/1968,100.660004,101.480003,99.660004,100.389999,100.389999,12320000,,,0.997317654,1.37144813,0.37144813
6/25/1968,100.389999,101.099998,99.279999,100.080002,100.080002,13200000,,,0.996912073,1.367213198,0.367213198
6/27/1968,100.080002,101.010002,99.110001,99.980003,99.980003,15370000,,,0.999000809,1.365847091,0.365847091
6/28/1968,99.980003,100.629997,98.910004,99.580002,99.580002,12040000,,,0.99599919,1.360382597,0.360382597
7/1/1968,99.580002,100.330002,98.769997,99.400002,99.400002,11280000,,,0.998192408,1.35792358,0.35792358
7/2/1968,99.400002,100.599998,98.599998,99.739998,99.739998,13350000,,,1.003420483,1.362568335,0.362568335
7/3/1968,99.739998,101.360001,99.599998,100.910004,100.910004,14390000,,,1.01173056,1.378552024,0.378552024
7/8/1968,100.910004,102.760002,100.720001,101.940002,101.940002,16860000,,,1.010207095,1.392623035,0.392623035
7/9/1968,101.940002,102.93,101.190002,102.230003,102.230003,16540000,,,1.00284482,1.396584798,0.396584798
7/11/1968,102.230003,103.669998,101.410004,102.389999,102.389999,20290000,,,1.001565059,1.398770535,0.398770535
7/12/1968,102.389999,103.239998,101.389999,102.339996,102.339996,14810000,,,0.999511642,1.398087434,0.398087434
7/15/1968,102.339996,103.150002,101.440002,102.260002,102.260002,13390000,,,0.999218351,1.39699462,0.39699462
7/16/1968,102.260002,102.720001,100.970001,101.699997,101.699997,13380000,,,0.994523714,1.389344278,0.389344278
7/18/1968,101.699997,102.650002,100.489998,101.440002,101.440002,17420000,,,0.99744351,1.385792434,0.385792434
7/19/1968,101.440002,101.82,99.800003,100.459999,100.459999,14620000,,,0.990339087,1.372404414,0.372404414
7/22/1968,100.459999,100.879997,98.510002,99.330002,99.330002,13530000,,,0.988751772,1.356967296,0.356967296
